technische metadata (drager)																		Waarde digitale drager						Inhoudelijke metadata											
drager.medium	drager.archiefnummer	drager.barcode	drager.dragertype	drager.Technische annotatie	drager.Technische annotatie	drager.archiefstatus	drager.depotstatus	drager.depotstatus.reden	drager.fabricagedatum	drager.fysieke staat	opbergeenheid.barcode	opbergeenheid.archiefnummer	opbergeenheid.locatie	drager.afmetingen	drager.kleur	drager.materiaalsoort	drager.collectienummer	drager.medium	drager.archiefnummer	drager.archiefnummer.bron	drager.dragertype	drager.archiefstatus	drager.projectnaam	werk.titel	configuratie filenaam	realisatie.titel	expressie.titel	expressie.overige titel	expressie.annotatie	expressie.inhoudssamenvatting	expressie.productiejaar	publicatie.begindatum	publicatie.einddatum	publicatie.zendgemachtigde	publicatie.weeknummer
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1953					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000011	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 2 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1953	22-11-1953	28-11-1953	AVRO	1953-47
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1955					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000012	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 26 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1955	21-08-1955	27-08-1955	AVRO	1955-34
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1956					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000013	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 25 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1956	04-03-1956	10-03-1956	AVRO	1956-10
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1957					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000014	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 24 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1957	15-12-1957	21-12-1957	AVRO	1957-50
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000015	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 23 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	08-06-1958	14-06-1958	AVRO	1958-23
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000016	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 23 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	29-06-1958	05-07-1958	AVRO	1958-26
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000017	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 23 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	06-07-1958	12-07-1958	AVRO	1958-27
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000018	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 23 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	13-07-1958	19-07-1958	AVRO	1958-28
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000019	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 23 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	03-08-1958	09-08-1958	AVRO	1958-31
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000020	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 23 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	10-08-1958	16-08-1958	AVRO	1958-32
